City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,dera bugti,PK,2020-09-01 06:51:51,29.03,69.15,88.41,53,41,6.98,scattered clouds
118,dingle,PH,2020-09-01 06:51:51,11.0,122.67,87.66,70,89,7.18,overcast clouds
119,kulhudhuffushi,MV,2020-09-01 06:51:51,6.62,73.07,82.71,76,100,12.06,light rain
120,nikolskoye,RU,2020-09-01 06:51:51,59.7,30.79,57.2,82,90,8.95,overcast clouds
121,tahta,EG,2020-09-01 06:51:52,26.77,31.5,87.8,23,0,10.29,clear sky
122,castro,BR,2020-09-01 06:51:52,-24.79,-50.01,56.59,86,98,11.79,overcast clouds
123,okato,NZ,2020-09-01 06:51:52,-39.2,173.88,50.0,83,32,5.99,light rain
124,kiunga,PG,2020-09-01 06:51:52,-6.12,141.29,84.47,80,99,3.83,light rain
125,chuy,UY,2020-09-01 06:51:52,-33.7,-53.46,46.94,78,100,8.79,overcast clouds
126,azul,AR,2020-09-01 06:51:48,-36.78,-59.86,36.0,77,0,1.01,clear sky
127,faanui,PF,2020-09-01 06:51:52,-16.48,-151.75,77.76,77,2,24.96,clear sky
128,alexandria,EG,2020-09-01 06:51:52,31.22,29.96,84.2,70,20,6.93,few clouds
129,keti bandar,PK,2020-09-01 06:51:53,24.14,67.45,84.69,69,48,15.61,scattered clouds
130,mahebourg,MU,2020-09-01 06:51:53,-20.41,57.7,73.4,73,75,17.22,shower rain
131,natal,BR,2020-09-01 06:51:27,-5.79,-35.21,71.6,100,75,10.29,broken clouds
132,yulara,AU,2020-09-01 06:51:53,-25.24,130.99,89.6,8,0,16.11,clear sky
133,fort nelson,CA,2020-09-01 06:51:53,58.81,-122.7,53.6,66,40,8.05,scattered clouds
134,mar del plata,AR,2020-09-01 06:51:53,-38.0,-57.56,44.01,75,75,3.36,broken clouds
135,port hawkesbury,CA,2020-09-01 06:51:54,45.62,-61.35,50.0,87,1,3.36,clear sky
136,chokurdakh,RU,2020-09-01 06:51:54,70.63,147.92,42.17,66,76,11.52,broken clouds
137,ushtobe,KZ,2020-09-01 06:51:54,45.25,77.98,92.73,13,0,9.22,clear sky
138,quatre cocos,MU,2020-09-01 06:51:54,-20.21,57.76,75.99,73,75,17.22,shower rain
139,qaqortoq,GL,2020-09-01 06:51:54,60.72,-46.03,42.8,81,75,8.05,broken clouds
